Date,Open,High,Low,Close
2017-08-22,31393.93,31484.28,31241.5,31291.85
2017-08-23,31407.47,31593.39,31379.25,31568.01
2017-08-24,31673.44,31678.19,31546.05,31596.06
2017-08-28,31756.87,31809.7,31701.67,31750.82
2017-08-29,31724.84,31739.8,31360.81,31388.39
2017-08-30,31534.57,31727.98,31533.02,31646.46
2017-08-31,31685.44,31757.18,31551.85,31730.49
2017-09-01,31769.34,31944.1,31707.27,31892.23
2017-09-04,31932.2,31932.2,31560.32,31702.25
2017-09-05,31755.16,31863.47,31674.23,31809.55
2017-09-06,31713.5,31727.85,31586.53,31661.97
2017-09-07,31738.74,31814.96,31620.44,31662.74
2017-09-08,31694.15,31763.7,31619,31687.52
2017-09-11,31798.31,31952.87,31797.89,31882.16
2017-09-12,32029.15,32172.46,31950.24,32158.66
2017-09-13,32188.95,32348.3,32126.77,32186.41
2017-09-14,32289.26,32328.61,32186.84,32241.93
2017-09-15,32207.63,32356.11,32138.38,32272.61
2017-09-18,32361.37,32508.06,32361.25,32423.76
2017-09-19,32522.44,32524.11,32358.63,32402.37
2017-09-20,32467.1,32499.88,32383.82,32400.51
2017-09-21,32406.42,32462.61,32164.42,32370.04
2017-09-22,32339.5,32342.81,31886.09,31922.44
2017-09-25,31986.4,32016.52,31474.56,31626.63
2017-09-26,31685.81,31693.59,31455.65,31599.76
2017-09-27,31785.24,31797.46,31100.8,31159.81
2017-09-28,31216.36,31340.91,31081.83,31282.48
2017-09-29,31367.25,31523.87,31243.71,31283.72
2017-10-03,31537.81,31615.28,31440.48,31497.38
2017-10-04,31522.17,31752.16,31457.78,31671.71
2017-10-05,31725.85,31772.41,31562.25,31592.03
2017-10-06,31633.34,31844.28,31632.81,31814.22
2017-10-09,31862.2,31935.63,31781.75,31846.89
2017-10-10,31910.82,31994.77,31896.9,31924.41
2017-10-11,31975.59,32098.46,31769.4,31833.99
2017-10-12,31887.47,32209.03,31813.67,32182.22
2017-10-13,32247.74,32508.59,32247.74,32432.69
2017-10-16,32488.23,32687.32,32445.43,32633.64
2017-10-17,32654.41,32699.86,32556.74,32609.16
2017-10-18,32518.56,32670.32,32462.85,32584.35
2017-10-19,32656.75,32663.06,32319.37,32389.96
2017-10-23,32411.86,32614.89,32312.74,32506.72
2017-10-24,32619.26,32670.37,32502.08,32607.34
2017-10-25,32995.28,33117.33,32804.6,33042.5
2017-10-26,33025.17,33196.17,32835.06,33147.13
2017-10-27,33228.32,33286.51,33109.41,33157.22
2017-10-30,33260.1,33340.17,33206.93,33266.16
2017-10-31,33254.93,33294.3,33164.28,33213.13
2017-11-01,33344.23,33651.52,33340.62,33600.27
